Burka	Bur
manipulatorka	manipulator
sznaucerka	sznaucer
dewotka	dewot
eksponentka	eksponent
korwinistka	korwinista
emerytka	emeryt
olbrzymka	olbrzym
ośmioklasistka	ośmioklasista
emigrantka	emigrant
Celtyjka	Celt
eksperymentalistka	eksperymentalista
tyczkarka	tyczkarz
milicjantka	milicjant
klientka	klient
golfistka	golfista
sylfida	sylf
legalistka	legalista
kioskarka	kioskarz
fabrykantka	fabrykant
nowicjuszka	nowicjusz
śluzowa	śluzowy
zaporożanka	zaporożanin
bigorektyczka	bigorektyk
sopocianka	sopocianin
korsarka	korsarz
kociara	kociarz
sympatyczka	sympatyk
Achajka	Achaj
rozgłosicielka	rozgłosiciel
estetka	esteta
bachantka	bachant
ekologistka	ekologista
stronniczka	stronnik
maturzystka	maturzysta
designerka	designer
bałamutnica	bałamutnik
Hinduska	Hindus
aktualistka	aktualista
Brunejka	Brunejczyk
Galilejka	Galilejczyk
suchotnica	suchotnik
moskwiczanka	moskwiczanin
celebrytka	celebryta
siwka	siwek
Zambijka	Zambijczyk
rywalka	rywal
arywistka	arywista
antyfanka	antyfan
przyjezdna	przyjezdny
arcykapłanka	arcykapłan
Lewantynka	Lewantyńczyk
idolka	idol
zwierzchniczka	zwierzchnik
noblistka	noblista
katolka	katol
prowadząca	prowadzący
królewna	królewicz
popularyzatorka	popularyzator
biochemiczka	biochemik
wszechwiedząca	wszechwiedzący
szatanica	szatan
Gaskonka	Gaskończyk
dżokejka	dżokej
protokólantka	protokólant
szwagierka	szwagier
Finlandka	Finlandczyk
agnostyczka	agnostyk
maratonka	maratończyk
lutnistka	lutnista
chlebodawczyni	chlebodawca
klucznica	klucznik
szczypiornistka	szczypiornista
robotniczka	robotnik
reżymówka	reżymowiec
koninianka	koninianin
iberystka	iberysta
Kretenka	Kreteńczyk
neurotyczka	neurotyk
alcistka	alcista
więźniarka	więzień
samarytanka	samarytanin
powierniczka	powiernik
piastowianka	piastowianin
akordeonistka	akordeonista
Czadyjka	Czadyjczyk
ekstremistka	ekstremista
kabalarka	kabalarz
gawędziarka	gawędziarz
sułkowiczanka	sułkowiczanin
ulubienica	ulubieniec
monachijka	monachijczyk
rówiennica	rówiennik
dyrektorka	dyrektor
ekshibicjonistka	ekshibicjonista
rozkazodawczyni	rozkazodawca
junaczka	junak
pruszkowianka	pruszkowianin
Gabonka	Gabończyk
demoralizatorka	demoralizator
dakarka	dakarczyk
zawodniczka	zawodnik
pacyfistka	pacyfista
podróżna	podróżny
propagatorka	propagator
laborantka	laborant
rzgowianka	rzgowianin
ajentka	ajent
gałganica	gałgan
Majanka	Maj
Sabinka	Sabińczyk
agnatka	agnat
nudystka	nudysta
pyszniczanka	pyszniczanin
opolanka	opolanin
furiatka	furiat
chopinistka	chopinista
bananówa	banan
wykładowczyni	wykładowca
pacholica	pachołek
mariawitka	mariawita
początkująca	początkujący
Azerbejdżanka	Azerbejdżanin
doradczyni	doradca
eurorealistka	eurorealista
Uzbeczka	Uzbek
kursistka	kursista
jeleniogórzanka	jeleniogórzanin
bullterierka	bullterier
prawoznawczyni	prawoznawca
dalmatynka	dalmatyńczyk
przygodziczanka	przygodziczanin
kuchmistrzyni	kuchmistrz
druciarka	druciarz
specjalizantka	specjalizant
ekspresjonistka	ekspresjonista
Samoanka	Samoańczyk
syfilityczka	syfilityk
indywidualistka	indywidualista
fetyszystka	fetyszysta
neapolitanka	neapolitańczyk
Spiszaczka	Spiszak
nowobogacka	nowobogacki
reżimówka	reżimowiec
meteoropatka	meteoropata
kraulistka	kraulista
łosica	łoś
cytrzystka	cytrzysta
sygnatariuszka	sygnatariusz
chemiczka	chemik
apologetka	apologetyk
darwinistka	darwinista
przeciwniczka	przeciwnik
Białorusinka	Białorusin
magnetyzerka	magnetyzer
Belgijka	Belg
kędzierzynianka	kędzierzynianin
szczurzyca	szczur
facetka	facet
kinomaniaczka	kinomaniak
poddana	poddany
łyżwiarka	łyżwiarz
prawodawczyni	prawodawca
Turczynka	Turek
zabierzowianka	zabierzowianin
pensjonariuszka	pensjonariusz
ekspartnerka	ekspartner
hrabianka	hrabia
sztutowianka	sztutowianin
psotnica	psotnik
gówniara	gówniarz
kramarka	kramarz
nestorka	nestor
robotnica	robotnik
wydawczyni	wydawca
przodownica pracy	przodownik pracy
cyniczka	cynik
waltornistka	waltornista
sklerotyczka	sklerotyk
magazynierka	magazynier
rajzerka	rajzer
oportunistka	oportunista
czarnucha	czarnuch
włamywaczka	włamywacz
barmanka	barman
wapniaczka	wapniak
śpiąca	śpiący
inwestorka	inwestor
Hellenka	Hellen
osiemdziesięciolatka	osiemdziesięciolatek
żywicielka	żywiciel
ciapata	ciapaty
meliniarka	meliniarz
Sundajka	Sundajczyk
kamedułka	kameduła
klasyczka	klasyk
Bretonka	Bretończyk
bukinistka	bukinista
legitymistka	legitymista
fanka	fan
wróżycha	wróż
Chorwatka	Chorwat
kapłanka	kapłan
Fenicjanka	Fenicjanin
szatynka	szatyn
Czarnogórka	Czarnogórzec
husytka	husyta
współpracownica	współpracownik
bluesmanka	bluesman
slalomistka	slalomista
pani	pan
piosenkarka	piosenkarz
Nepalka	Nepalczyk
dezerterka	dezerter
górniczka	górnik
Austryjaczka	Austryjak
ósmoklasistka	ósmoklasista
prohibicjonistka	prohibicjonista
bajonka	bajończyk
wytwornisia	wytworniś
deputantka	deputat
Ślunzaczka	Ślunzak
szubinianka	szubinianin
zapowiadaczka	zapowiadacz
rzymianka	rzymianin
aresztowana	aresztowany
wycieczkowiczka	wycieczkowicz
Korsykanka	Korsykańczyk
będzinianka	będzinianin
altowiolistka	altowiolista
szaradzistka	szaradzista
sublokatorka	sublokator
filmolożka	filmolog
załogantka	załogant
baletmistrzyni	baletmistrz
pretendentka	pretendent
starokatoliczka	starokatolik
bogini	bóg
teletypistka	teletypista
